Naziv kluba,Nadimak,Godina osnutka,Mjesto,Stadion,Trener,Predsjednik,Liga,Rang,Broj klubova,Krugovi,Navijači,Boja,Prvak Hrvatska
HNK Hajduk Split,Bili,1911,Split,Stadion Poljud,Gennaro Gattuso,Ivan Bilić,SuperSport HNL,1,10,4,Torcida,Bijela,6
HNK Rijeka,Riječki bijeli,1946,Rijeka,Stadion Rujevica,Radomir Đalović,Damir Mišković,SuperSport HNL,1,10,4,Armada,Bijela,1
GNK Dinamo Zagreb,Plavi,1945,Zagreb,Stadion Maksimir,Nenad Bjelica,Velimir Zajec,SuperSport HNL,1,10,4,Bad Blue Boys,Plava,25
NK Varaždin,Varaždinci,1931,Varaždin,Stadion Varteks,Nikola Šafarić,Dražen Vitez,SuperSport HNL,1,10,4,White Stones,Plavo-bijela,0
NK Osijek,Bijelo-plavi,1947,Osijek,Stadion Opus Arena,Federico Coppitelli,Ferenc Sakalj,SuperSport HNL,1,10,4,Kohorta,Plavo-bijela,0
NK Istra 1961,Zeleno-žuti,1948,Pula,Stadion Aldo Drosina,Paolo Tramezzani,Branko Devide Vincenti,SuperSport HNL,1,10,4,Demoni,Zelena-žuta,0
HNK Šibenik,Šibenčani,1932,Šibenik,Stadion Šubićevac,Marko Kartelo,Željko Karajica,SuperSport HNL,1,10,4,Funcuti,Narančasta,0
NK Lokomotiva Zagreb,Lokosi,1914,Zagreb,Stadion Kranjčevićeva,Silvijo Čabraja,Miroslav Gluhinić,SuperSport HNL,1,10,4,Lokosi,Plavo-bijela,0
HNK Gorica,Goričani,2009,Velika Gorica,Stadion Radnik,Marijo Carević,Nenad Črnko,SuperSport HNL,1,10,4,Šljakeri,Crvena,0
NK Slaven Belupo,Farmaceuti,1912,Koprivnica,Stadion Ivan Kušek Apaš,Marijo Kovačević,Robert Markulin,SuperSport HNL,1,10,4,Podravske štuke,Plavo-bijela,0
HNK Vukovar 1991,Vukovarčani,2012,Vukovar,Stadion Borovo Naselje,Branko Karačić,Markus Buzov,SuperSport Prva NL,2,12,3,Vukovar navijači,Maslinasta,0
NK Opatija,Opatijci,1911,Opatija,Stadion Kantrida,Zoran Bogolin,Robert Perčić,SuperSport Prva NL,2,12,3,Pešekani,Crno-bijela,0
NK Dubrava Tim Kabel,Dubrava,1945,Zagreb,Stadion Grana Klaka,Davor Mladina,Roko Ivanović,SuperSport Prva NL,2,12,3,Rebelsi,Ljubičasta,0
NK Sesvete,Sesvete,1941,Sesvete,Stadion Sveti Josip Radnik,Mario Rac,Pero Karatović,SuperSport Prva NL,2,12,3,Sesvećani,Crveno-crna,0
NK Croatia Zmijavci,Zmijavčani,1974,Zmijavci,Stadion Marijan Šuto,Goran Radeljić,Ivan Piplica,SuperSport Prva NL,2,12,3,Zmijavci navijači,Crveno-bijela,0
HNK Cibalia,Nebesko-plavi,1919,Vinkovci,Stadion Cibalia,Ivan Karaula,Damir Mustapić,SuperSport Prva NL,2,12,3,Ultras Vinkovci,Plava,0
HNK Orijent,Sušačani,1919,Rijeka,Stadion Krimeja,Ivan Šušnjić,Saša Matijaš,SuperSport Prva NL,2,12,3,Red Fuckers,Crvena,0
NK Rudeš,Rudešani,1957,Zagreb,Stadion Rudeš,Samir Toplak,Josip Joe Šimunić,SuperSport Prva NL,2,12,3,Rudeš Boys,Plava,0
NK Jarun,Jarun,1921,Zagreb,Stadion Jarun,Jerko Leko,Mate Bekavac,SuperSport Prva NL,2,12,3,Jarun Ultras,Plava,0
NK Dugopolje,Bijeli,1952,Dugopolje,Stadion Hrvatski vitezovi,Mirko Labrović,Mario Smodlaka,SuperSport Prva NL,2,12,3,Dugopolje navijači,Bijela,0
NK BSK Bijelo Brdo,BSK,1935,Bijelo Brdo,Stadion BSK,Igor Budiša,Jovo Vuković,SuperSport Prva NL,2,12,3,BSK navijači,Plavo-žuta,0
NK Zrinski Osječko,Zrinski,1970,Osijek,Stadion Gradski vrt,Marko Vukčević,Ivan Komak,SuperSport Prva NL,2,12,3,Zrinski navijači,Crvena,0
NK Mladost Ždralovi,Ždralovčani,1933,Ždralovi,Stadion Brdo,Tihomir Bradić,Vjekoslav Ćalušić,SuperSport Druga NL,3,16,2,Ekipa s brda,Crvena,0
NK Jadran-LP,Jadranaši,1959,Ploče,Stadion Jadranovo,Mišo Krstičević,Tihomir Krstičević,SuperSport Druga NL,3,16,2,Trlilule,Plava,0
NK Bjelovar,Bjelovarčani,1908,Bjelovar,Gradski stadion Bjelovar,Tomislav Mikulić,Ivan Ščrbačić,SuperSport Druga NL,3,16,2,Torcida Bjelovar,Plavo-bijela,0
NK Kustošija,Kusta,1929,Zagreb,Stadion Kustošija,Perica Vidak,Branimir Majdak,SuperSport Druga NL,3,16,2,Kustošija navijači,Crveno-crna,0
NK Solin,Modri-Žuti,1919,Solin,Stadion pokraj Jadra,Marin Oršulić,Ivica Rakušić,SuperSport Druga NL,3,16,2,Solin navijači,Plavo-žuta,0
NK Dugo Selo,Dugoselčani,1923,Dugo Selo,Gradski stadion,Ivan Klarić,Damir Fintić,SuperSport Druga NL,3,16,2,Blue Boys Dugo Selo,Plava,0
HNK Segesta,Stara dama,1906,Sisak,Gradski stadion,Zoran Buinac,Ervin Mehinović,SuperSport Druga NL,3,16,2,Antitalenti,Crveno-bijela,0
NK Radnik Križevci,Radnik,1909,Križevci,Gradski stadion,Damir Milinović,Drago Črček,SuperSport Druga NL,3,16,2,Radnik navijači,Plava,0
NK Hrvace,Hrvace,1997,Hrvace,Gradski stadion,Grgica Kovač,Stipe Doljanin,SuperSport Druga NL,3,16,2,Hrvace navijači,Crvena,0
NK Trnje,Trnjani,1924,Zagreb,Stadion NK Trnje,Srećko Lušić,Jakov Sivrić,SuperSport Druga NL,3,16,2,Trnje navijači,Plava,0
NK Uljanik,Uljanil,2003,Pula,SRC Uljanik Veruda,Sergej Banović,Toni Draguzet,SuperSport Druga NL,3,16,2,Uljanik navijači,Plavo-bijela,0
NK Hrvatski dragovoljac,Crni,1975,Zagreb,ŠNC Stjepan Spajić,Mladen Stipković,Berislav Gluić,SuperSport Druga NL,3,16,2,Crni ratnici,Crna,0
NK Grobničan,Grobničan,1932,Čavle,Mavrinci,Predrag Stilinović,Damir Batarelo,SuperSport Druga NL,3,16,2,Grobničan navijači,Crvena,0
NK Marsonia,Marsa,1909,Slavonski Brod,Stadion Stanko Vlainić-Dida,Josip Markovinović,Dubravko Galović,SuperSport Druga NL,3,16,2,Brodska legija,Crna,0
NK Jadran-Poreč,Jadranaši,1948,Poreč,Stadion Veli Jože,Blaž Bugarin,Edvard Ribarić,SuperSport Druga NL,3,16,2,Šajete Boys,Plavo-bijela,0
NK RUUU,Modri-Žuti,1919,Solin,Stadion pokraj Jadra,Marin Oršulić,Ivica Rakušić,SuperSport Druga NL,3,16,2,Solin navijači,Plavo-žuta,0
3v,v,232,v,v,vc,vs,V,3,3,3,cv,vs,342
